word,value,year
praise,0,2001
priest,38,2001
prophet,31,2001
reign,38,2001
sacrifice,13,2001
said,145,2001
saw,19,2001
say,16,2001
says,30,2001
seen,3,2001
sent,52,2001
servant,46,2001
sin,18,2001
solomon,4,2001
son,153,2001
sovereign,0,2001
speak,8,2001
spirit,5,2001
taken,9,2001
tell,19,2001
thing,15,2001
tribe,2,2001
wa,180,2001
went,85,2001
wife,3,2001
word,32,2001
year,67,2001
aaron,16,2002
almighty,3,2002
altar,10,2002
babylon,1,2002
burnt,13,2002
came,27,2002
christ,0,2002
city,17,2002
come,18,2002
commanded,6,2002
daughter,11,2002
daughters,6,2002
david,167,2002
day,25,2002
declares,0,2002
descendant,72,2002
doe,1,2002
father,135,2002
given,14,2002
goat,0,2002
god,114,2002
grain,2,2002
ha,14,2002
hand,23,2002
hear,1,2002
heart,9,2002
israel,95,2002
jeremiah,4,2002
jerusalem,22,2002
jesus,0,2002
judah,25,2002
king,71,2002
kingdom,12,2002
know,3,2002
lamb,0,2002
land,18,2002
let,17,2002
life,2,2002
like,7,2002
lord,176,2002
love,3,2002
male,1,2002
man,10,2002
men,97,2002
month,17,2002
moses,9,2002
mother,5,2002
mouth,0,2002
offering,17,2002
old,9,2002
people,40,2002
pharaoh,0,2002
praise,11,2002
priest,16,2002
prophet,3,2002
reign,9,2002
sacrifice,5,2002
said,44,2002
saw,13,2002
say,4,2002
says,4,2002
seen,1,2002
sent,14,2002
servant,17,2002
sin,0,2002
solomon,23,2002
son,539,2002
sovereign,0,2002
speak,0,2002
spirit,3,2002
taken,6,2002
tell,5,2002
thing,7,2002
tribe,21,2002
wa,223,2002
went,26,2002
wife,15,2002
word,9,2002
year,9,2002
aaron,6,2003
almighty,0,2003
altar,40,2003
babylon,8,2003
burnt,30,2003
came,38,2003
christ,0,2003
city,44,2003
come,30,2003
commanded,8,2003
daughter,15,2003
daughters,4,2003
david,68,2003
day,38,2003
declares,1,2003
descendant,16,2003
doe,2,2003
father,67,2003
given,20,2003
goat,8,2003
god,189,2003
grain,3,2003
ha,37,2003
hand,35,2003
hear,17,2003
heart,28,2003
israel,155,2003
jeremiah,4,2003
jerusalem,126,2003
jesus,0,2003
judah,161,2003
king,279,2003
kingdom,20,2003
know,10,2003
lamb,8,2003
land,43,2003
let,12,2003
life,2,2003
like,11,2003
lord,356,2003
love,9,2003
male,5,2003
man,22,2003
men,74,2003
month,15,2003
moses,12,2003
mother,4,2003
mouth,4,2003
offering,45,2003
old,27,2003
people,134,2003
pharaoh,0,2003
praise,12,2003
priest,76,2003
prophet,23,2003
reign,27,2003
sacrifice,18,2003
said,72,2003
saw,17,2003
say,9,2003
says,12,2003
seen,2,2003
sent,31,2003
servant,15,2003
sin,14,2003
solomon,65,2003
son,127,2003
sovereign,0,2003
speak,3,2003
spirit,7,2003
taken,4,2003
tell,6,2003
thing,11,2003
tribe,6,2003
wa,201,2003
went,54,2003
wife,11,2003
word,23,2003
year,53,2003
aaron,1,2004
almighty,0,2004
altar,3,2004
babylon,16,2004
burnt,8,2004
came,12,2004
christ,0,2004
city,9,2004
come,1,2004
commanded,1,2004
daughter,4,2004
daughters,0,2004
david,3,2004
day,18,2004
declares,0,2004
descendant,48,2004
doe,1,2004
father,1,2004
given,7,2004
goat,0,2004
god,97,2004
grain,1,2004
ha,20,2004
hand,12,2004
hear,0,2004
heart,3,2004
israel,31,2004
jeremiah,1,2004
jerusalem,47,2004
jesus,0,2004
judah,15,2004
king,65,2004
kingdom,2,2004
know,6,2004
lamb,4,2004
land,3,2004
let,14,2004
life,1,2004
like,3,2004
lord,37,2004
love,1,2004
male,6,2004
man,6,2004
men,27,2004
month,12,2004
moses,3,2004
mother,0,2004
mouth,0,2004
offering,17,2004
old,0,2004
people,30,2004
pharaoh,0,2004
praise,4,2004
priest,24,2004
prophet,5,2004
reign,7,2004
sacrifice,7,2004
said,6,2004
saw,1,2004
say,3,2004
says,1,2004
seen,1,2004
sent,8,2004
servant,8,2004
sin,4,2004
solomon,2,2004
son,49,2004
sovereign,0,2004
speak,0,2004
spirit,0,2004
taken,5,2004
tell,0,2004
thing,3,2004
tribe,1,2004
wa,31,2004
went,4,2004
wife,1,2004
word,2,2004
year,10,2004
aaron,2,2005
almighty,0,2005
altar,1,2005
babylon,2,2005
burnt,1,2005
came,11,2005
christ,0,2005
city,11,2005
come,6,2005
commanded,3,2005
daughter,10,2005
daughters,2,2005
david,8,2005
day,44,2005
declares,0,2005
descendant,22,2005
doe,2,2005
father,10,2005
given,4,2005
goat,0,2005
god,72,2005
grain,13,2005
ha,3,2005
hand,11,2005
hear,4,2005
heart,5,2005
israel,11,2005
jeremiah,3,2005
jerusalem,37,2005
jesus,0,2005
judah,30,2005
king,32,2005
kingdom,2,2005
know,3,2005
lamb,0,2005
land,14,2005
let,11,2005
life,3,2005
like,8,2005
lord,21,2005
love,5,2005
male,0,2005
man,12,2005
men,33,2005
month,7,2005
moses,7,2005
mother,0,2005
mouth,0,2005
offering,5,2005
old,0,2005
people,52,2005
pharaoh,1,2005
praise,4,2005
priest,28,2005
prophet,2,2005
reign,1,2005
sacrifice,0,2005
said,29,2005
saw,3,2005
say,3,2005
says,0,2005
seen,0,2005
sent,9,2005
servant,20,2005
sin,6,2005
solomon,4,2005
son,123,2005
sovereign,0,2005
speak,1,2005
spirit,2,2005
taken,1,2005
tell,0,2005
thing,4,2005
tribe,0,2005
wa,56,2005
went,10,2005
wife,3,2005
word,6,2005
year,10,2005
aaron,0,2006
almighty,0,2006
altar,0,2006
babylon,1,2006
burnt,0,2006
came,7,2006
christ,0,2006
city,10,2006
come,7,2006
commanded,6,2006
daughter,3,2006
daughters,0,2006
david,0,2006
day,40,2006
declares,0,2006
descendant,2,2006
doe,0,2006
father,2,2006
given,7,2006
goat,0,2006
god,0,2006
grain,0,2006
ha,10,2006
hand,5,2006
hear,0,2006
heart,0,2006
israel,0,2006
jeremiah,0,2006
jerusalem,1,2006
jesus,0,2006
judah,1,2006
king,117,2006
kingdom,9,2006
know,2,2006
lamb,0,2006
land,0,2006
let,15,2006
life,2,2006
like,0,2006
lord,0,2006
love,0,2006
male,1,2006
man,9,2006
men,5,2006
month,23,2006
moses,0,2006
mother,2,2006
mouth,1,2006
offering,0,2006
old,1,2006
people,21,2006
pharaoh,0,2006
praise,0,2006
priest,0,2006
prophet,0,2006
reign,3,2006
sacrifice,0,2006
said,12,2006
saw,4,2006
say,2,2006
says,0,2006
seen,1,2006
sent,8,2006
servant,0,2006
sin,0,2006
solomon,0,2006
son,13,2006
sovereign,0,2006
speak,1,2006
spirit,1,2006
taken,5,2006
tell,0,2006
thing,2,2006
tribe,1,2006
wa,54,2006
went,12,2006
wife,4,2006
word,3,2006
year,4,2006
aaron,0,2007
almighty,31,2007
altar,0,2007
babylon,0,2007
burnt,2,2007
came,14,2007
christ,0,2007
city,2,2007
come,41,2007
commanded,0,2007
daughter,3,2007
daughters,3,2007
david,0,2007
day,37,2007
declares,0,2007
descendant,2,2007
doe,59,2007
father,10,2007
given,4,2007
goat,1,2007
god,121,2007
grain,4,2007
ha,71,2007
hand,44,2007
hear,11,2007
heart,18,2007
israel,0,2007
jeremiah,0,2007
jerusalem,0,2007
jesus,0,2007
judah,0,2007
king,7,2007
kingdom,0,2007
know,52,2007
lamb,0,2007
land,19,2007
let,35,2007
life,25,2007
like,88,2007
lord,27,2007
love,3,2007
male,1,2007
man,88,2007
men,56,2007
month,5,2007
moses,0,2007
mother,1,2007
mouth,30,2007
offering,2,2007
old,8,2007
people,8,2007
pharaoh,0,2007
praise,0,2007
priest,1,2007
prophet,0,2007
reign,0,2007
sacrifice,2,2007
said,34,2007
saw,10,2007
say,35,2007
says,7,2007
seen,11,2007
sent,1,2007
servant,9,2007
sin,21,2007
solomon,0,2007
son,11,2007
sovereign,0,2007
speak,24,2007
spirit,11,2007
taken,4,2007
tell,19,2007
thing,11,2007
tribe,1,2007
wa,35,2007
went,3,2007
wife,3,2007
word,30,2007
year,8,2007
aaron,8,2008
almighty,17,2008
altar,5,2008
babylon,3,2008
burnt,6,2008
came,13,2008
christ,0,2008
city,20,2008
come,87,2008
commanded,5,2008
daughter,7,2008
daughters,1,2008
david,14,2008
day,96,2008
declares,0,2008
descendant,12,2008
doe,42,2008
father,16,2008
given,13,2008
goat,1,2008
god,423,2008
grain,6,2008
ha,122,2008
