aaron,almighty,altar,babylon,burnt,came,christ,city,come,commanded,daughter,daughters,david,day,declares,descendant,doe,father,given,goat,god,grain,ha,hand,hear,heart,israel,jeremiah,jerusalem,jesus,judah,king,kingdom,know,lamb,land,let,life,like,lord,love,male,man,men,month,moses,mother,mouth,offering,old,people,pharaoh,praise,priest,prophet,reign,sacrifice,said,saw,say,says,seen,sent,servant,sin,solomon,son,sovereign,speak,spirit,taken,tell,thing,tribe,wa,went,wife,word,year,timeOfBook
0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,3,1,1,2,0,0,0,6,0,0,0,0,0,0,0,0,0,5,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,4,0,0,0,0,book57
2,0,3,0,2,4,15,6,14,2,1,0,2,13,3,2,1,10,3,3,83,0,40,7,3,10,3,0,1,19,2,5,2,6,0,4,17,11,11,15,3,0,11,11,1,11,1,1,6,1,21,0,0,32,1,0,19,21,4,10,9,2,1,2,20,0,21,0,1,11,3,1,14,3,63,4,0,11,6,book58
0,1,1,0,0,0,2,1,9,0,0,0,0,1,0,0,8,3,1,0,16,0,9,0,0,0,0,0,0,2,0,0,1,6,0,2,3,5,7,11,3,0,17,2,0,0,0,2,0,0,2,0,3,0,1,0,0,2,0,9,4,1,1,1,4,0,1,0,2,2,0,0,0,1,7,0,0,4,1,book59
0,0,0,1,0,0,21,0,4,0,1,0,0,3,0,0,2,3,2,0,31,0,5,1,0,2,0,0,0,9,0,2,0,2,1,0,0,6,7,6,9,0,1,8,0,0,0,1,1,0,5,0,4,0,0,0,1,0,0,0,1,1,2,1,5,0,1,0,1,8,0,0,4,0,11,1,0,6,0,book60
0,0,0,0,0,3,8,1,3,0,0,0,0,11,0,0,1,2,3,0,7,0,9,0,0,0,0,0,0,9,0,0,1,4,0,0,0,3,5,14,2,0,4,8,0,0,0,1,0,0,5,0,0,0,3,0,0,0,1,1,0,0,1,1,0,0,2,1,0,1,0,0,2,0,6,0,0,5,1,book61
0,0,0,0,0,1,9,0,7,1,0,0,0,1,0,0,23,13,6,0,61,0,38,1,0,4,0,0,0,12,0,0,0,36,0,0,3,24,3,0,41,0,5,2,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,2,9,3,0,18,0,22,0,1,13,0,0,3,0,4,1,0,5,0,book62
0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,3,3,1,0,2,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,book63
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,book64
0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,2,0,0,0,0,0,0,6,0,0,0,1,0,0,0,1,1,7,3,0,0,7,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,2,1,0,2,0,4,0,0,1,0,book65
0,9,8,6,0,25,7,31,47,0,0,0,3,17,0,0,6,3,28,1,87,0,47,17,10,4,2,0,3,14,2,19,8,15,31,7,17,23,66,22,6,2,7,15,2,1,1,19,0,1,19,0,4,3,7,5,0,26,42,25,1,4,3,12,3,0,5,1,1,22,4,1,9,20,123,5,1,25,4,book66
