topic,value,year
topic7,23,1042
topic8,18,1042
topic9,15,1042
topic10,24,1042
topic11,9,1042
topic12,8,1042
topic13,11,1042
topic14,6,1042
topic15,1,1042
topic16,28,1042
topic17,15,1042
topic18,7,1042
topic19,18,1042
topic0,11,1043
topic1,20,1043
topic2,39,1043
topic3,20,1043
topic4,5,1043
topic5,11,1043
topic6,7,1043
topic7,31,1043
topic8,15,1043
topic9,38,1043
topic10,8,1043
topic11,0,1043
topic12,15,1043
topic13,22,1043
topic14,0,1043
topic15,0,1043
topic16,30,1043
topic17,9,1043
topic18,27,1043
topic19,31,1043
topic0,4,1044
topic1,5,1044
topic2,35,1044
topic3,6,1044
topic4,7,1044
topic5,5,1044
topic6,1,1044
topic7,24,1044
topic8,2,1044
topic9,17,1044
topic10,4,1044
topic11,5,1044
topic12,2,1044
topic13,11,1044
topic14,3,1044
topic15,0,1044
topic16,10,1044
topic17,2,1044
topic18,4,1044
topic19,7,1044
topic0,1,1045
topic1,7,1045
topic2,30,1045
topic3,2,1045
topic4,1,1045
topic5,13,1045
topic6,2,1045
topic7,18,1045
topic8,8,1045
topic9,14,1045
topic10,6,1045
topic11,4,1045
topic12,0,1045
topic13,13,1045
topic14,1,1045
topic15,0,1045
topic16,2,1045
topic17,0,1045
topic18,2,1045
topic19,4,1045
topic0,2,1046
topic1,1,1046
topic2,19,1046
topic3,1,1046
topic4,0,1046
topic5,1,1046
topic6,0,1046
topic7,13,1046
topic8,0,1046
topic9,5,1046
topic10,3,1046
topic11,2,1046
topic12,0,1046
topic13,6,1046
topic14,2,1046
topic15,0,1046
topic16,1,1046
topic17,1,1046
topic18,1,1046
topic19,4,1046
topic0,0,1047
topic1,0,1047
topic2,6,1047
topic3,3,1047
topic4,0,1047
topic5,1,1047
topic6,1,1047
topic7,5,1047
topic8,4,1047
topic9,3,1047
topic10,2,1047
topic11,1,1047
topic12,0,1047
topic13,0,1047
topic14,1,1047
topic15,0,1047
topic16,6,1047
topic17,0,1047
topic18,0,1047
topic19,0,1047
topic0,0,1048
topic1,3,1048
topic2,13,1048
topic3,5,1048
topic4,0,1048
topic5,3,1048
topic6,1,1048
topic7,6,1048
topic8,1,1048
topic9,11,1048
topic10,2,1048
topic11,1,1048
topic12,0,1048
topic13,7,1048
topic14,1,1048
topic15,0,1048
topic16,7,1048
topic17,2,1048
topic18,2,1048
topic19,2,1048
topic0,0,1049
topic1,0,1049
topic2,6,1049
topic3,6,1049
topic4,0,1049
topic5,1,1049
topic6,0,1049
topic7,4,1049
topic8,1,1049
topic9,7,1049
topic10,0,1049
topic11,0,1049
topic12,0,1049
topic13,1,1049
topic14,0,1049
topic15,0,1049
topic16,8,1049
topic17,0,1049
topic18,1,1049
topic19,0,1049
topic0,1,1050
topic1,1,1050
topic2,10,1050
topic3,0,1050
topic4,0,1050
topic5,1,1050
topic6,0,1050
topic7,4,1050
topic8,2,1050
topic9,5,1050
topic10,1,1050
topic11,0,1050
topic12,0,1050
topic13,5,1050
topic14,0,1050
topic15,0,1050
topic16,1,1050
topic17,1,1050
topic18,0,1050
topic19,0,1050
topic0,0,1051
topic1,1,1051
topic2,3,1051
topic3,2,1051
topic4,0,1051
topic5,2,1051
topic6,0,1051
topic7,2,1051
topic8,0,1051
topic9,3,1051
topic10,0,1051
topic11,0,1051
topic12,0,1051
topic13,1,1051
topic14,0,1051
topic15,0,1051
topic16,2,1051
topic17,1,1051
topic18,0,1051
topic19,0,1051
topic0,0,1052
topic1,0,1052
topic2,1,1052
topic3,1,1052
topic4,0,1052
topic5,2,1052
topic6,1,1052
topic7,1,1052
topic8,0,1052
topic9,1,1052
topic10,2,1052
topic11,1,1052
topic12,0,1052
topic13,1,1052
topic14,1,1052
topic15,0,1052
topic16,2,1052
topic17,1,1052
topic18,0,1052
topic19,1,1052
topic0,0,1053
topic1,0,1053
topic2,3,1053
topic3,3,1053
topic4,0,1053
topic5,0,1053
topic6,0,1053
topic7,2,1053
topic8,0,1053
topic9,4,1053
topic10,1,1053
topic11,0,1053
topic12,0,1053
topic13,1,1053
topic14,0,1053
topic15,0,1053
topic16,4,1053
topic17,0,1053
topic18,0,1053
topic19,1,1053
topic0,2,1054
topic1,0,1054
topic2,4,1054
topic3,5,1054
topic4,0,1054
topic5,0,1054
topic6,0,1054
topic7,2,1054
topic8,0,1054
topic9,6,1054
topic10,0,1054
topic11,0,1054
topic12,0,1054
topic13,1,1054
topic14,0,1054
topic15,0,1054
topic16,6,1054
topic17,1,1054
topic18,0,1054
topic19,0,1054
topic0,0,1055
topic1,2,1055
topic2,1,1055
topic3,0,1055
topic4,0,1055
topic5,2,1055
topic6,0,1055
topic7,1,1055
topic8,0,1055
topic9,0,1055
topic10,0,1055
topic11,1,1055
topic12,0,1055
topic13,0,1055
topic14,0,1055
topic15,0,1055
topic16,1,1055
topic17,0,1055
topic18,0,1055
topic19,0,1055
topic0,0,1056
topic1,0,1056
topic2,1,1056
topic3,1,1056
topic4,0,1056
topic5,0,1056
topic6,0,1056
topic7,0,1056
topic8,0,1056
topic9,2,1056
topic10,1,1056
topic11,0,1056
topic12,0,1056
topic13,1,1056
topic14,0,1056
topic15,0,1056
topic16,1,1056
topic17,0,1056
topic18,0,1056
topic19,0,1056
topic0,2,1057
topic1,1,1057
topic2,19,1057
topic3,1,1057
topic4,2,1057
topic5,2,1057
topic6,1,1057
topic7,15,1057
topic8,7,1057
topic9,3,1057
topic10,4,1057
topic11,1,1057
topic12,2,1057
topic13,2,1057
topic14,0,1057
topic15,3,1057
topic16,4,1057
topic17,2,1057
topic18,6,1057
topic19,8,1057
topic0,0,1058
topic1,0,1058
topic2,5,1058
topic3,2,1058
topic4,2,1058
topic5,1,1058
topic6,1,1058
topic7,3,1058
topic8,0,1058
topic9,3,1058
topic10,1,1058
topic11,0,1058
topic12,0,1058
topic13,4,1058
topic14,1,1058
topic15,0,1058
topic16,0,1058
topic17,0,1058
topic18,0,1058
topic19,0,1058
topic0,0,1059
topic1,1,1059
topic2,8,1059
topic3,0,1059
topic4,1,1059
topic5,1,1059
topic6,2,1059
topic7,7,1059
topic8,0,1059
topic9,0,1059
topic10,0,1059
topic11,0,1059
topic12,1,1059
topic13,0,1059
topic14,0,1059
topic15,0,1059
topic16,3,1059
topic17,0,1059
topic18,1,1059
topic19,0,1059
topic0,1,1060
topic1,2,1060
topic2,2,1060
topic3,0,1060
topic4,0,1060
topic5,2,1060
topic6,0,1060
topic7,1,1060
topic8,0,1060
topic9,2,1060
topic10,0,1060
topic11,0,1060
topic12,0,1060
topic13,2,1060
topic14,0,1060
topic15,0,1060
topic16,0,1060
topic17,1,1060
topic18,0,1060
topic19,0,1060
topic0,0,1061
topic1,0,1061
topic2,8,1061
topic3,0,1061
topic4,2,1061
topic5,0,1061
topic6,0,1061
topic7,7,1061
topic8,6,1061
topic9,0,1061
topic10,2,1061
topic11,5,1061
topic12,0,1061
topic13,0,1061
topic14,3,1061
topic15,0,1061
topic16,3,1061
topic17,0,1061
topic18,1,1061
topic19,0,1061
topic0,0,1062
topic1,0,1062
topic2,0,1062
topic3,0,1062
topic4,0,1062
topic5,0,1062
topic6,0,1062
topic7,0,1062
topic8,1,1062
topic9,0,1062
topic10,0,1062
topic11,1,1062
topic12,0,1062
topic13,0,1062
topic14,0,1062
topic15,0,1062
topic16,0,1062
topic17,0,1062
topic18,0,1062
topic19,0,1062
topic0,0,1063
topic1,0,1063
topic2,2,1063
topic3,0,1063
topic4,0,1063
topic5,0,1063
topic6,0,1063
topic7,2,1063
topic8,0,1063
topic9,0,1063
topic10,0,1063
topic11,0,1063
topic12,0,1063
topic13,0,1063
topic14,0,1063
topic15,0,1063
topic16,1,1063
topic17,0,1063
topic18,1,1063
topic19,0,1063
topic0,1,1064
topic1,0,1064
topic2,1,1064
topic3,0,1064
topic4,0,1064
topic5,0,1064
topic6,0,1064
topic7,0,1064
topic8,0,1064
topic9,1,1064
topic10,0,1064
topic11,1,1064
topic12,0,1064
topic13,1,1064
topic14,1,1064
topic15,0,1064
topic16,0,1064
topic17,1,1064
topic18,0,1064
topic19,0,1064
topic0,4,1065
topic1,4,1065
topic2,15,1065
topic3,6,1065
topic4,0,1065
topic5,4,1065
topic6,4,1065
topic7,17,1065
topic8,3,1065
topic9,7,1065
topic10,12,1065
topic11,7,1065
topic12,6,1065
topic13,6,1065
topic14,0,1065
topic15,0,1065
topic16,12,1065
topic17,1,1065
topic18,7,1065
topic19,13,1065
